#{"CCD_temperature": "-88", "FELP": "1", "FELRR": "0.75", "FEL_lambda": "10", "FEL_pulses": 16, "NIRP": "137.505", "NIR_lambda": "764", "Sample_Temp": "17", "addenda": [-16598.725, "FEL_power_sweep"], "bg_file_name": "testBG19", "center_lambda": 751.5, "dark_region": null, "exposure": 20.0, "gain": 125, "grating": 2, "series": "137.505", "shot_normalized": true, "slits": "40", "subtrahenda": ["testBG"], "y_max": 80, "y_min": 25}
#

Wavelength,Signal
nm,arb. u.
nan,nan
nan,nan
1.659619,2.891016
1.659586,3.078516
1.659552,4.141016
1.659519,0.578516
1.659486,3.203516
1.659453,3.266016
1.659420,4.203516
1.659387,6.078516
1.659354,3.516016
1.659321,1.391016
1.659287,9.828516
1.659254,1.766016
1.659221,1.953516
1.659188,5.141016
1.659155,5.828516
1.659122,3.578516
1.659089,1.516016
1.659056,2.641016
1.659022,1.203516
1.658989,3.641016
1.658956,3.766016
1.658923,3.141016
1.658890,4.641016
1.658857,4.078516
1.658824,2.516016
1.658791,1.953516
1.658758,6.828516
1.658725,1.953516
1.658691,4.766016
1.658658,5.828516
1.658625,1.578516
1.658592,5.578516
1.658559,3.328516
1.658526,6.641016
1.658493,2.953516
1.658460,2.953516
1.658427,6.828516
1.658394,5.016016
1.658361,0.328516
1.658327,2.703516
1.658294,2.703516
1.658261,3.078516
1.658228,1.516016
1.658195,0.141016
1.658162,0.641016
1.658129,3.578516
1.658096,3.766016
1.658063,3.641016
1.658030,0.891016
1.657997,3.328516
1.657964,5.641016
1.657931,1.516016
1.657898,1.953516
1.657865,5.203516
1.657832,3.516016
1.657799,4.641016
1.657765,3.078516
1.657732,3.016016
1.657699,1.641016
1.657666,2.391016
1.657633,4.953516
1.657600,6.766016
1.657567,3.516016
1.657534,4.266016
1.657501,1.578516
1.657468,0.891016
1.657435,9.266016
1.657402,4.641016
1.657369,5.578516
1.657336,3.766016
1.657303,1.141016
1.657270,5.328516
1.657237,2.578516
1.657204,3.703516
1.657171,4.891016
1.657138,3.266016
1.657105,5.641016
1.657072,3.641016
1.657039,2.016016
1.657006,2.078516
1.656973,0.391016
1.656940,3.453516
1.656907,6.641016
1.656874,3.641016
1.656841,5.891016
1.656808,5.078516
1.656775,0.766016
1.656742,4.141016
1.656709,3.828516
1.656676,2.953516
1.656643,3.328516
1.656610,6.703516
1.656577,6.516016
1.656544,4.828516
1.656511,4.641016
1.656478,2.516016
1.656445,4.078516
1.656412,5.641016
1.656379,5.891016
1.656346,8.766016
1.656313,5.391016
1.656280,5.891016
1.656247,3.328516
1.656214,3.516016
1.656181,2.828516
1.656148,4.141016
